name,town,county,tier
Atom Learning,London,,2
Avado Learning Limited,London,Greater London,2
AVALON CARE TRAINING LTD.,Manchester,,2
Avon Education Services Ltd,Bristol,,2
Azhar Academy,London,,2
AZHAR ACADEMY LIMITED,London,,2
Baldev Skills Resources Limited,Sheffield,South Yorkshire,2
Bantock Training LTD,London,,2
Barnet Tuition Center Limited,London,,2
Bartley Green School,Birmingham,,2
BATU TRAINING SERVICES LTD,LONDON,,2
Baytul Ilm Secondary School,milton Keynes,England,2
BE Education,LONDON,,2
Beam Primary School,London,,2
Beatrice Tate School,LONDON,,2
Beech House School,ROCHDALE,GREATER MANCHESTER,2
Beifang Education Group (UK) Ltd,London,,2
Belgrave School Ltd,Bristol,,2
Bellevue Education International Limited,London,,2
Bellevue Place Education Trust,London,,2
BEST TRAINING LONDON LIMITED,"London,",,2
Best Tuition Point Ltd,London,,2
Bethnal Green Montessori School Limited,London,County,2
Better Futures Multi Academy Trust,Coventry,,2
BIEA BRITISH INTERNATIONAL EDUCATION ASSOCIATION LTD,London,,2
Big Creative Training Ltd,London,,2
Big Education Trust,London,,2
BIGFOOT INTERNATIONAL EDUCATION LTD,London,,2
Bishop Challoner Federation of Schools,London,,2
Bishop Stopford's School,London,,2
Blackheath High School GDST,London,,2
Blackwater Academy LTD,Birmingham,,2
Blessed Hugh Faringdon Catholic School,Reading,,2
Blue Consulting International Limited T/A Blue Education,London,,2
Body Fit Training UK Limited,London,,2
Bolton Muslim Girlsâ?? School,Bolton,Greater Manchester,2
BOOMSATSUMA EDUCATION LIMITED,Bristol,,2
Boost Education Service Limited t/a BHE Uni,London,,2
Boutcher Church of England Primary School,London,,2
BPI Learning Consulting UK,London,,2
BRAINSTATION LEARNING LIMITED,London,,2
Brentside High School,Hanwell,London,2
Bridge Academy,London,,2
Bridgelea Primary School,Manchester,,2
Brigantia Learning Trust Limited,Sheffield,,2
BRIGHT FUTURE TUITION LTD,Manchester,,2
Bright Training & Assessment Ltd,London,,2
BRIGHTEDGE ACADEMY LIMITED,LONDON,ILFORD,2
BRISTOL OLD VIC THEATRE SCHOOL LTD,BRISTOL,,2
Britannia Education Trust,London,,2
British Academy,London,,2
Broadway Academy Trust,Birmingham,West Midlands,2
Bromley Emergency Training & Research Ltd,London,,2
BROOKS RESOURCE ACADEMY LIMITED,London,,2
Broughton Hall Catholic High School,Liverpool,,2
Buds Limited T/A Catherine House Day Nursery Schools,Birmingham,,2
Built Environment Support and Training Ltd,Glasgow,Lanarkshire,2
Bundle Training Limited,London,,2
Burlington School Limited,Balham,London,2
Business Skills Interactive Limited,London,,2
Bute House Preparatory School for Girls Limited,LONDON,,2
Buxton School,London,,2
BYS Care & Training Services Limited,London,,2
Cabot Learning Federation,Bristol,,2
Caledonian Education Information Centre,Edinburgh,,2
CAMBRIDGE CENTER FOR EDUCATION EXCHANGE LTD,Cambridge,,2
Cambridge Professional Academy Ltd,Cambridge,,2
Cambridge Steiner School Project,Cambridge,Cambridgeshire,2
Cambridge University Press & Assessment,Cambridge,,2
Camvision Education Limited,London,,2
Canopy Education CIC,London,London,2
CARE2 TRAINING LIMITED,LONDON,,2
Cargilfield School,Edinburgh,,2
carr Manor Community School,Leeds,West Yorkshire,2
CASE INTERNATIONAL EDUCATION LTD,London,,2
CASS INTERNATIONAL EDUCATION & CONSULTING LTD,London,,2
Cavendish Education Ltd,London,,2
CCUK Education Ltd,London,,2
CEA CAPA Education Abroad,London,,2
Central City Training Venues Ltd,London,,2
Central Foundation Boys' School,London,,2
CENTRE ACADEMY LONDON,LONDON,,2
CENTRE FOR EDUCATION-UK LTD,London,,2
Centre for Health Sciences Training Research and Development (CHESTRAD) International,London,,2
Centre of Accountancy Careers & Training Ltd,London,,2
Channing School,London,,2
Charlton Park Academy,London,,2
Cheadle Hulme School,Stockport,Cheshire,2
CHEETHAM KIDS ACADEMY LTD,Manchester,,2
Chefs in Schools,London,County,2
Chelsea Academy (A Science Academy),London,,2
Chelsea Community Hospital School,London,,2
Chelsea Education Group Services Ltd,London,,2
CHESSVANTAGE ACADEMY LIMITED,London,,2
Chew Valley School,Bristol,Bath & North East Somerset,2
Chihuang Music School Limited,Liverpool,England,2
Chingford Foundation School,Chingford,London,2
CHIP TRAINING & CONSULTING LTD,"London,",,2
Chiswick School,London,,2
Chorus Education Trust,Sheffield,South Yorkshire,2
CITY ACADEMY (ARTS) LIMITED,LONDON,,2
City Press Services Limited,Manchester,,2
CLAP ACADEMY LIMITED,Croydon,London,2
Clapton Girls Academy,London,,2
Clarendon International Education Limited,Oxford,,2
Clear Corporation Training Limited,LONDON,,2
COCKBURN MULTI ACADEMY TRUST,Leeds,,2
Cognita Schools Limited,London,,2
Colfe's School,Lee,London,2
Colmers School and Sixth Form,Birmingham,West Midlands,2
Colville Primary School,London,,2
Common Purpose Training Ltd,London,Greater London,2
Community Schools Trust,London,,2
CONCRETED EDUCATION LTD,London,,2
Constellation Education Services,Bristol,,2
Convoy Education Ltd,London,,2
Copthall School,London,,2
CORE Education Trust,Birmingham,West Midlands,2
Corpus Christi Catholic Academy Trust,Manchester,Greater Manchester,2
Corpus Christi Catholic Primary School,London,London,2
COURAGE GLOBAL SCHOOL LIMITED,BURY,GREATER MANCHESTER,2
Coventry School Foundation,Coventry,,2
Creative Education Trust,London,London,2
Crescent Education Services Ltd,Birmingham,,2
Cresconova Academy,London,,2
Crimson Education (Europe) Limited,London,,2
Dada Education Global Limited,Leeds,,2
DAFFODIL PREPARATORY SCHOOL LTD,London,,2
Daughters of Divine Love Training and Assessment Centre (UK) - DDLTAC (UK),London,,2
"Davoud Falahatgar Etminani, trading as Tigers Taekwondo Academy",London,,2
Debate Mate Training Ltd,London,,2
Denefield School,Reading,Berkshire,2
Department for Education,London,,2
Diversify Education and Communities CIC,Nottingham,Nottingham,2
Djanogly Learning Trust,Nottingham,Nottinghamshire,2
DNM (SOUTH WEST) LTD T/A BAMBER EDUCATION,Bristol,,2
Dolphin School Limited,Reading,,2
DR SIMON'S ACADEMY & CONSULTANCY OF SCIENCE LIMITED,MANCHESTER,GREATER MANCHESTER,2
Dragon School Trust Ltd,Oxford,Oxfordshire,2
Drayton Manor High School,London,Ealing,2
drb Ignite Multi Academy Trust,Birmingham,West Midlands,2
drb Schools and Academies Services Ltd     Services Limited,Birmingham,,2
Dreamer Space International Education Ltd,London,,2
Drumbeat School and ASD Service,London,Bromley,2
Duke Corporate Education Limited,London,United Kingdom,2
Dukes Education Group Ltd,London,,2
DURSTON HOUSE SCHOOL EDUCATIONAL TRUST LTD,EALING,LONDON,2
Dwight School London,London,,2
Dynamic Education Services LTD,London,,2
EARLY BIRD EDUCATION LIMITED,Merton District,London,2
Early Education Centre,Walthamstow,London,2
East London Advanced Technology Training,London,,2
Eastend Training Ltd,London,Greater London,2
Eastern Learning Alliance,Cambridge,Cambridgeshire,2
EASTWARD HOUSE SCHOOL LIMITED,Pontypridd,CARDIFF,2
Echos Education Ltd,London,,2
ECI Schools,London,,2
Edinburgh Festival Ballet School,Edinburgh,,2
Edinburgh Montessori Arts School,Edinburgh,,2
Edinburgh Primary School,London,Waltham Forest,2
Edinburgh Support Services & Healthcare Training Ltd,Edinburgh,Lothian,2
Edtech Games Development Limited,London,,2
EDUCATION & IT LIMITED,Birmingham,,2
EDUCATION AND ASSESSMENT LTD,Birmingham,,2
Education and Leadership Trust,Manchester,,2
Education Careers Limited,London,,2
Education Development Trust,Reading,Berkshire,2
Education Endowment Foundation,London,,2
EDUCATION FOR INDUSTRY GROUP,London,,2
Education House Leeds Ltd,Leeds,West Yorkshire,2
Education International Cooperation UK Consulting Limited,Manchester,,2
Education Matters Group,Victoria,London,2
EDUCATION OFFICE  EMBASSY OF GREECE,LONDON,,2
Education Policy Institute,London,,2
Education Support Solutions Limited,Manchester,,2
EDUCATION TRAVEL & LEISURE LIMITED,London,,2
EDUCATION UK APPLICATION SERVICES LTD,LONDON,,2
Eeze Old School House Ltd,London,London,2
EF CORPORATE EDUCATION LTD,London,,2
EF International Academy UK Limited,Oxford,,2
EF Language Schools Ltd,London,,2
EF Student Services Ltd,London,,2
EFEKTA EDUCATION LTD,London,,2
EIFA International School,London,,2
"EIM Learning UK, Ltd",London,,2
Eko Trust T/A Eleanor Smith School,London,,2
Elevate Education (United Kingdom) Pty Ltd,London,,2
Elmhurst Ballet School in Association with Birmingham Royal Ballet,Birmingham,West Midlands,2
Elstree School,Reading,Berkshire,2
Emerald Training and Medical Staffing Ltd,London,,2
Empiric Student Property Plc.,London,,2
Enfield County School for Girls,Enfield,Greater London,2
Enfield Grammar School,Enfield,London,2
English National Ballet School,London,,2
Enterkey Training Ltd,Birmingham,West Midlands,2
ES Training Limited,London,Choose County,2
Eurospeak Language Schools Ltd,Reading,Berkshire,2
Exact Tutor Ltd,London,,2
EXCEL BUSINESS CONSULTANTS & TRAINING ACADEMY LTD,LONDON,,2
Explora Haven Training and Support Services Limited,London,,2
Extra Learning UK Limited,Birmingham,,2
Eyesto Education Limited,Cardiff,Wales,2
FAHIQAH'S LEARNING ACADEMY LTD,Birmingham,,2
Fairley House School,London,,2
Finchley Catholic High School,London,,2
Finham Park Multi Academy Trust,Coventry,West Midlands,2
Firebrand Training Ltd,London,,2
FIRST CHOICE SAFETY TRAINING LTD,London,,2
First Class Learning Ltd,Reading,,2
First Lane Education UK Consultancy Ltd,London,,2
Flexible Learning School LTD,Birmingham,,2
Flourish Learning,Liverpool,Merseyside,2
Flow Hospitality Training Limited,Edinburgh,Midlothian,2
FOOTBALL CLASS ACADEMY LTD,CARDIFF,,2
"Forest School, Essex",London,,2
Forfar Education Ltd,London,,2
Foundation for International Education,London,,2
Fourth Monkey Education Limited,London,,2
Francis Holland Schools Trust,London,,2
Freshsteps Independent school,London,,2
Frontier Learning Trust,Finchley,London,2
Fryent Primary School,Kingsbury,London,2
FS Training and Consultancy Limited,Manchester,,2
Fulham Cross Academy,LONDON,,2
FULIA EDUCATION LTD,London,,2
Funk Enterprise Ltd T/A Funk Training Club,London,,2
Future Connect Training & Recruitment Ltd,Finchley Central,London,2
Future International Education UK Ltd,Nottingham,Beeston,2
Future London Academy Limited,London,,2
FUTURE TIDE EDUCATION LIMITED,London,England,2
Garden House School Limited,London,,2
Gardener Schools Group Limited,London,,2
GENDERGP EDUCATION LTD,London,,2
Get Skills Employment & Training UK,London,,2
GK Tuition Limited,London,England,2
Glasgow Maritime Academy,Glasgow,,2
GLENCROWN TRAINING AND CONSULTING SERVICES LIMITED,London,,2
Glendower School Trust Limited,London,,2
Global Alliance Academy Limited,London,,2
Global Banking School Limited,London,,2
GLOBAL EDUCATION AND CAREER CONSULTANTS LIMITED,LONDON,,2
Global Education Management Systems Limited,Bristol,,2
Global Learning Europe Ltd,London,,2
Global Recruitment Training Centre Limited,London,,2
Global Schools Forum,London,,2
GLOBAL TRAINING AND EDUCATION CONSULTANCY LTD,Birmingham,,2
Global Vision Education Consulting Ltd,LONDON,,2
Globe Education Services Ltd,Manchester,,2
GOLDEN GLITTERS TRAINING NURSERY & RECRUITMENT LTD,LONDON,,2
Goldensparks Learning Limited,London,,2
Gordano School,Portishead,Bristol,2
Governance House for Consulting Training and Development Limited,London,,2
Grace Academy Coventry,Coventry,,2
Grange Park Junior School,London,,2
Great and Little Shelford CE (A) Primary School,Cambridge,Cambridgeshire,2
GREAT EDUCATION LIMITED,London,Ilford,2
GREAT SCHOOLS TRUST,WARRINGTON,CHESHIRE,2
Greyfriars Catholic School,Oxford,Oxfordshire,2
Growth Academy Trust LTD,Coventry,westmidlands,2
GSL Education,Barnet,London,2
Guiseley School,Leeds,West Yorkshire,2
Gunjon Education (Int) Limited,London,,2
Gwendolen House Nursery School Limited,London,,2
H and H Global Education Limited,LONDON,,2
H X-PRESS LTD,London,,2
HACKER ACADEMY LTD,London,,2
Hackney Education,London,,2
Halcyon London International School,London,,2
HAMD HOUSE SCHOOL LTD,"Birmingham,",,2
Hammersmith Academy,London,London,2
Hampden Gurney CE Primary School,London,Westminster,2
HAMPSTEAD HILL SCHOOL LTD,LONDON,LONDON,2
HAPPY EDUCATION CONSULTANCY LTD,London,,2
Harborne Academy,Birmingham,United Kingdom,2
Haringey Education Partnership,London,,2
Harmeny Education Trust Limited,Edinburgh,Midlothian,2
Harris Academy Beckenham,Bromley,London,2
Harris Academy Greenwich,London,,2
Harris Academy South Norwood,London,,2
Harris City Academy Crystal Palace,Crystal Palace,London,2
HARRIS GIRLS ACADEMY EAST DULWICH,LONDON,,2
Harvington School Educational Trust Ltd,London,,2
Hassle Free Education Ltd,Birmingham,,2
Hato Press Ltd,London,,2
Headington School Oxford Ltd,Oxford,,2
Headstart Nursery school Limited,Edinburgh,,2
Health Education England,Birmingham,West Midlands,2
Healthcare Education Student Support Services Limited,Newcastle Upon Tyne,,2
Heath House Prep School Limited,London,,2
HGV TRAINING SERVICES LTD,LONDON,,2
HIGHBRIDGE EDUCATION LTD,London,,2
Highgate School,London,,2
Highlands school,London,London,2
Hill House International Junior School,London,,2
Hillcrest School and Sixth Form Centre,Birmingham,West Midlands,2
Hills Education Trust Limited,Cambridge,Cambridgeshire,2
Hillyfield Academy,London,,2
Hive Learning Limited,London,,2
Holborn Accountancy Tuition Limited,London,,2
Holt green training ltd,Stockport,Greater Manchester,2
Holy Cross Catholic Multi Academy Company,Coventry,,2
Holy Trinity Catholic School,Birmingham,West Midlands,2
HOME TO SCHOOLS TRAVEL LTD T/A CENTRAL CARS AND BUSES,BOLTON,,2
Hopespark Academy Ltd,London,,2
Horizon Care and Education Services Limited,Manchester,,2
HORSFORTH SCHOOL,LEEDS,WEST YORKSHIRE,2
How To Academy Limited,London,,2
HTI Education Ltd,Manchester,,2
Hua Hsia Chinese Tuition Limited,London,,2
Hurlingham School,London,London,2
Hyde Academy Ltd,London,,2
Hyde Global Education Ltd,London,England,2
I Teach Wales Limited,Cardiff,,2
Ibil Aesthetic & Training Academy Ltd,Greenwich,London,2
Ibstock Place School,London,,2
IMC (UK) Learning Limited,London,,2
Immersify Education Ltd,Manchester,,2
Impact Academy Limited,London,,2
Impact Childcare and Education Ltd,Newcastle Upon Tyne,,2
Imperial Learning Ltd,London,,2
IMPERIAL OAK SCHOOL LIMITED,London,,2
IMPRESS: The Independent Monitor for the Press,London,,2
IMR Education Ltd,London,,2
INCHWISE EDTECH LTD,London,,2
Independent Jewish School Day School,London,,2
INDUS EDUCATION FOUNDATION INTERNATIONAL,London,,2
Innova Schools Limited,Reading,,2
Inspire Education Trust,Coventry,,2
Inspire Partnership Academy Trust,Woolwich,London,2
Inspiren Global Education Ltd,London,,2
Intellego Education Services Limited,London,,2
INTEN Education Group Ltd.,Manchester,,2
INTERGREAT EDUCATION GROUP LTD.,LONDON,,2
InterLead Education Ltd,London,,2
INTERNATIONAL BRITISH ONLINE SCHOOL LTD,London,Greater London,2
International Community School,London,,2
International Education and Business Solutions Limited,Birmingham,,2
International Education Counselling Centre,Sheffield,,2
International Education Exchange Ltd,London,,2
International Education Organisation Ltd,London,,2
INTERNATIONAL FOUNDATION FOR CHILDREN'S EDUCATION,Manchester,,2
International Group Of Education Ltd,London,,2
INTERNATIONAL QUALIFICATIONS AND CERTIFICATIONS ASSESSMENT BOARD LTD,"Kensington, London",,2
IOS RECRUITMENT AND TRAINING SERVICES LTD,Cardiff,Wales,2
ISAC EDUCATION LIMITED,London,,2
Isleworth & Syon School For Boys,Isleworth,Greater London,2
Islington Community Sports Academy,London,,2
IT PROFESSIONAL TRAINING LTD,EDINBURGH,,2
Ivors Academy Trust,LONDON,,2
Ivy Learning Trust,London,,2
JAFKO EDUCATION LIMITED,LONDON,,2
James Allen's Girls' School,London,,2
JE CREATIVE EDUCATION LTD,London,,2
Jeannine Manuel School,London,,2
JERBS EDUCATION ACADEMY LTD,Nottingham,,2
Jewish Community Academy Trust,London,London,2
Jigsaw Education Evidence Ltd,London,,2
JSA Education Group Ltd t/a JCA London Fashion Academy,London,,2
JT Education Limited,London,,2
Jung Wang Ltd t/a The British English Academy,Oxford,,2
K EDUCATION LTD,London,,2
Kaamil Education Limited,London,,2
Kafleas Academy Limited,London,,2
KAIYIXIN EDUCATION CONSULTANCY LIMITED,London,England,2
KBM TRAINING & RECRUITMENT LTD,LONDON,,2
KEJIA EDUCATION GUARDIAN LTD,Brighton,,2
Kelvinside Academy,Glasgow,,2
Kendrick School,Reading,,2
Kensington Aldridge Academy,Kensington,London,2
Kensington Park School Limited t/a Kensington Park School,London,,2
KHIDMAH ACADEMY,LONDON,,2
King Alfred School,London,,2
King Edward VI Academy Trust Birmingham,Birmingham,West Midlands,2
King's Cross Academy Trust,London,,2
Kingdom Education And Child Care Services Ltd for (Treasured Kids preschool and Afterschool Club),London,,2
Kings Academy Trust,Eccles,Manchester,2
KINGS KIDS CHRISTIAN SCHOOL,LONDON,,2
Kings Norton Girls' School & Sixth Form,Birmingham,,2
Kingsbury High School,Kingsbury,London,2
Kingsdale Foundation School,London,England,2
Kingsford Community School,London,,2
Kingston Academy Limited (Reseller),Romford,London,2
Kisharon School,London,,2
KNEWTON PLUS ACADEMY LIMITED,London,England,2
KNIGHTSBRIDGE SCHOOLS INTERNATIONAL LIMITED,London,,2
Knowledge Schools Trust,London,,2
KPG Global Education Ltd,Coventry,,2
KS EDUCATION ASSOCIATES LIMITED,LONDON,,2
Kukula Education Consultancy Ltd,London,UK,2
L&J GC EDUCATION LTD,Birmingham,,2
L.B. Lewisham (Schools),London,,2
L.E.A.D. Academy Trust,Nottingham,Nottinghamshire,2
La Chouette School,London,,2
La Retraite RC Girls School,London,,2
Lampton School Academy Trust,London,,2
"Landmark International School, Cambridge",Cambridge,,2
Landon School Harmonsworth,London,Greater London,2
Langtree School,READING,Oxfordshire,2
Latymer All Saints CE Primary School,London,,2
Latymer Upper School,London,,2
LAW TRAINING CENTRE KENT LIMITED,LONDON,,2
LCA Education Limited,Manchester,,2
Leading Education Ltd,London,,2
Learning Centre for Management & Training Ltd,London,,2
Learning Connexions (UK) Ltd,London,,2
Learning in Harmony Trust,Hartley Avenue,London,2
Learning Labs,Birmingham,,2
Learning Roots Ltd,London,,2
Learning Technologies Group PLC,Brighton,East Sussex,2
Learning Unleashed Limited,Liverpool,,2
Leathersellers' Federation of Schools,London,,2
Leeds Student Medical Practice,Leeds,,2
Liberty Academy Trust,London,,2
Liberty Accounting & Training Ltd,London,,2
Libra Education LTD,London,,2
Life Success Academy CIC,Birmingham,,2
Lifetime Training Group Ltd,Bristol,,2
Lift Schools,London,,2
Limms Skills Academy Limited,London,,2
Lindamood-Bell Learning Processes,London,,2
Linden Lodge School,South Wimbledon,London,2
Linden Tree Nursery Schools Ltd,London,Battersea,2
Lion Academy Trust,Leyton,London,2
Little Angels Day Nursery & Pre-Prep School Highbury Limited,London,Islington,2
Little Angels Day Nursery and Pre-School Limited,London,,2
Little Foxes Forest School,Bristol,Avon,2
LITTLE LION EDUCATION LTD,London,,2
Liverpool Media Academy Limited,Liverpool,,2
Lloyd Williamson Schools,London,London,2
LOGIX TRAINING LTD,London,Leyton,2
LOIBAR EDUCATION CONSULTANCY LTD,COVENTRY,WEST MIDLANDS,2
London Academy,London,,2
London Business Training and Consulting Ltd,LONDON,,2
London Christian School Ltd,London,,2
London De Academy Limited,London,,2
London Diocesan Board for Schools,London,,2
LONDON EDUCATION MANAGEMENT LTD,LONDON,Greater London,2
London Fields Primary School,London,,2
London Film School,London,,2
London Interdisciplinary School,London,,2
London Medical Training Ltd,London,,2
London One to One Academy UK LTD,London,,2
LONDON PRIME TUITION LTD,London,,2
London Scandinavian School,London,London,2
LONDON SCHOOL ADVICE LTD,LONDON,MIDDLESEX,2
London Sports Academy Limited,London,,2
London Star Education LTD,London,,2
Lord Grey Academy,Milton Keynes,Buckinghamshire,2
Lords School,Bolton,Lancashire,2
LOVEUK EDUCATION. LTD,Birmingham,,2
LSI Education,London,,2
LUCKY SCHOOL UNIFORM LTD,MANCHESTER,LANCASHIRE,2
Lumina Learning Limited,Reading,,2
Luminate Education Group,Leeds,West Yorkshire,2
Lumis Student Living Limited,London,,2
LUX MUNDI CATHOLIC ACADEMY TRUST,London,,2
MAG EDTECH LIMITED,Cambridge,,2
Mak Education Limited,London,,2
Makers Academy,London,London,2
Maljee Establishment Limited T/A Vision Academy,London,,2
Manchester Communication Academy,Manchester,,2
Manchester Grammar School,Manchester,,2
Manchester Learning Zone,Manchester,Lancashire,2
MANCHESTER TRAINING SCHOOL LIMITED,MANCHESTER,,2
Mander Portman Woodward School,London,,2
Mantra Learning,Middleton,Greater Manchester,2
MarcoPolo Learning Ltd,London,,2
Maria Montessori Ltd T/A Maria Montessori Nursery School,London,,2
Maria Montessori Nursery Limited T/A Maria Montessori Nursery School,London,,2
Maria Montessori Training Organisation (The),London,,2
Maritime Academy Trust,London,,2
Marmalade Schools,LONDON,London,2
MASSOLIT Online Education,London,,2
MATRIX SOLUTIONS INTERNATIONAL LTD T/A ANZ Training,BIRMINGHAM,,2
McGraw Hill Education (UK) Limited,London,,2
Medefine Education Group LTD,London,,2
MEDICAL ASSESSMENT AGENCY LTD,London,England,2
MENORAH HIGH SCHOOL FOR GIRLS,LONDON,,2
Merc Education UK LTD,London,,2
Merchiston Castle School,Edinburgh,,2
Merviq Education Ltd,London,N/A,2
Met Film School Ltd,London,,2
"Milestone Edtech (UK) Co.,LTD",Glasgow,,2
Milestones Education Ltd,Birmingham,,2
MILL HILL COUNTY HIGH SCHOOL,LONDON,,2
Mill Hill School Foundation,London,,2
MILTON KEYNES TRAINING CENTRE LTD,Milton Keynes,,2
Mindful Education,London,,2
Mindstone Learning Limited (t/a Mindstone),London,,2
Mini Professionals Dance Academy Ltd,Kidlington,Oxford,2
Minuteman Press Oxford Ltd,Oxford,,2
Mission Grove Primary School,London,,2
MK GLOBAL EDUCATION CONSULTANT LIMITED,"Manchester, Lancashire",United Kingdom,2
Mockingbird Raw Press Limited,London,,2
Mojereh Training Limited,London,,2
MONTESSORI COMMUNITY SCHOOL,London,London,2
Montessori Education for Autism,London,,2
Moonlight Academy Ltd,London,England,2
Mount House School Ltd,London,Hertfordshire,2
Mount St Mary's Catholic High School,Leeds,West Yorkshire,2
Mulberry Schools Trust,London,,2
MUSIC EDUCATION TECHNOLOGIES LIMITED,London,,2
Naima Jewish Preparatory School (JPS),London,,2
National Education Group Ltd,Sheffield City Centre,Sheffield,2
National Education Union (NEU),London,,2
NATIONAL STEM EDUCATION LIMITED,Birmingham,,2
NCC EDUCATION LIMITED,Manchester,,2
NCG Higher Education Centre Limited,Newcastle-Upon-Tyne,Tyne And Wear,2
Needle Point Education Limited,London,,2
NEVSAH ACADEMY LTD,London,,2
New School Represents Limited,London,,2
NEWCASTLE EDUCATION GROUP LTD,Newcastle Upon Tyne,,2
NEWGLOBE EDUCATION SERVICES UK LIMITED,Forest Gate,London,2
Newham Community Learning,London,,2
Newto Training Limited,London,,2
Newton Co-Educational Preparatory School,London,,2
Newton Venture Education Limited,London,,2
NextStep Training Ltd,London,County,2
NHS Education For Scotland,Edinburgh,,2
Nishkam School Trust,Birmingham,West Midlands,2
Noddys Nursery School Ltd,London,,2
Nord Anglia Education Ltd,London,,2
Norland Place School Limited,London,London,2
North London Grammar School,London,,2
North West Training Council,Liverpool,,2
Northchild Education (UK) Ltd,London,,2
Nosce Education Limited,London,,2
Notting Hill Preparatory School Limited,London,,2
Nottingham Girls' High School,Nottingham,,2
Nova Education Trust,Nottingham,Nottinghamshire,2
NULEAF EDUCATION LIMITED,Birmingham,West Midlands,2
OAK TREE PRE-SCHOOL NURSERIES LIMITED,LONDON,,2
Oasis Community Learning,London,,2
Old School Barbers,London,,2
One School Group Limited,London,,2
Open Education AI CIC,Covent Garden,LONDON,2
Open School Trust Ltd.,Cambridge,Cambridgeshire,2
Optimised Training Centre,Birmingham,,2
Orbis Education and Care,Cardiff,,2
Origin Education UK International Cultural Exchange Ltd,London,,2
Orion Training and Development Ltd,Birmingham,West Midlands,2
OSME EDUCATION LTD,Bromley,Greater London,2
Osmosis Training Ltd,London,,2
Our Lady of Dolours RC Primary School,London,,2
Our Lady of Grace Catholic Academy Trust,London,,2
Our Lady of Lourdes Catholic Primary School,London,,2
Overton Grange School,Sutton,London,2
Oxbridge Academy Ltd,London,,2
OXBRIDGE EDUCATION GROUP LIMITED,Reading,,2
OXFORD ACADEMY LONDON LTD,London,,2
Oxford Graduate School Ltd,London,,2
Oxford International Education & Travel Ltd,London,,2
Oxford International School,Oxford,Oxfordshire,2
Oxford Leadership Academy Limited,London,,2
Oxford Montessori Schools Limited,Oxford,,2
OXFORD ONLINE SCHOOL LTD,Oxford,,2
Oxford Royale Academy,Oxford,Oxfordshire,2
Oxford Scholastica Academy Ltd,London,,2
Oxford University Press,Oxford,Oxon,2
P.S. Press Ltd,London,,2
Paint Pots Montessori Schools Ltd,London,,2
PANDA EDUCATION GROUP LTD,London,England,2
Pangbourne House Montessori School,London,London,2
Park High School,London,,2
Parkgate House School Ltd,London,,2
Peace Home Learning Center Ltd,London,,2
PEAK CYBER ACADEMY LTD,London,,2
PEARL TRAINING AND CONSULTANCY SERVICE LIMITED,London,,2
Persona Education Ltd,Bristol,,2
Phaidon Press Limited,London,,2
Phileas Fox Nursery School,LONDON,,2
PHILIP TRAINING CENTRE LTD,Greenwich,London,2
PI ACADEMY LTD,London,,2
Pimlico Academy,London,,2
PINDERS SCHOOL WEAR LIMITED,Sheffield,,2
PINE EDUCATION LTD,London,,2
Place Education CIC,Liverpool,- select -,2
PLANET EDUCATION NETWORKS LTD,London,,2
Play & Learn Nursery and Pre-school,London,,2
Playdays Day Nursery & Nursery School Limited,London,,2
PLUS Education,London,,2
PREMIER EDUCATION CARE LTD,Birmingham,,2
PREMIUM EDUCATION INTERNATIONAL LTD,London,,2
Prestolee Multi Academy Trust,Manchester,,2
Prime Tuition Services Limited,London,,2
PRIME UK EDUCATION LTD,London,,2
Princeton University Press,Oxford,Oxfordshire,2
PROFESSIONAL AESTHETICS ACADEMY LTD,Birmingham,West Midlands,2
Progress Music Academy,"Birmingham, West Midlands",United Kingdom (GB),2
Progressive Education Consultants UK Ltd T/A Mail boxes Etc.,London,,2
PROPEL LEARNING LTD,LONDON,,2
ProQuest Information and Learning Limited,Cambridge,,2
Prospect Education (Technology) Trust,London,,2
Prozone Training Limited,Birmingham,West Midlands,2
PURPLE ACADEMY LIMITED t/aThe Teachers Training,London,,2
Putney High School,London,,2
Queen Anne's School,Reading,Berkshire,2
Queen's Gate School Trust Limited,London,,2
Queens Park Community School Academy Trust,London,,2
Quint Education,London,Edgware,2
Quodox Training Limited,London,,2
R S FORKLIFTS TRAINING LIMITED,Birmingham,,2
R&A EDUCATION LTD,Birmingham,,2
Rainbow Angels Nurseries & Learning Centres Ltd,Rainham,"Essex, Greater London",2
Raindance Film School,London,,2
Raise Education & Wellbeing Ltd,Bolton,,2
READ EDUCATION SERVICES,London,,2
Reading Beauty Training Limited,Reading,Berkshire,2
Reading School,Reading,,2
READY STEADY GO PRE-SCHOOLS LTD,London,,2
Redhill Academy Trust,Arnold,Nottingham,2
REDOOR EDUCATION LTD,London,,2
Refugee Education UK Ltd,Harlesden,London,2
Renaissance Learning UK Ltd,London,,2
Resolve Education Ltd,Oldham,Greater Manchester,2
RESULTS EDUCATION,London,,2
Rich Success Training Consultancy Ltd,London,,2
Riverside Education Ltd,Birmingham,,2
Riverston School,Lee,London,2
RN ClearPoint Learning Systems UK Ltd,London,,2
RNS EDUCATION LIMITED,London,,2
RNS Education Ltd,London,,2
Roedean School,Brighton,East Sussex,2
Rosemount Pre School Nursery Limited,London,,2
Royal Wharf Aesthetics & Academy Ltd,London,,2
RS EDUCATION LIMITED,London,,2
S9 Training Solutions Ltd,Ilford,LONDON,2
